Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta Correta
Qual a capital do Brasil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1
Em qual ano o Brasil se tornou independente,1822,1808,1500,1922,1
Qual é o maior oceano do mundo?,Atlântico,Índico,Pacífico,Ártico,3
Quem pintou a Mona Lisa?,Van Gogh,Picasso,Leonardo da Vinci,Michelangelo,3
Qual o elemento químico com o símbolo O?,Ouro,Oxigênio,Osmio,Ósmio,2
Qual o planeta mais próximo do Sol?,Vênus,Marte,Mercúrio,Júpiter,3
Qual o animal terrestre mais rápido?,Leão,Guepardo,Antílope,Cavalo,2
Em que continente se localiza o Egito?,Ásia,África,Europa,América,2
Qual o rio mais longo do mundo?,Amazonas,Nilo,Yangtzé,Mississippi,2
"Quem escreveu ""Dom Quixote""?",Shakespeare,Cervantes,Molière,Dante,2
Qual a capital da França?,Roma,Berlim,Paris,Londres,3
Quantos lados tem um hexágono?,Cinco,Seis,Sete,Oito,2
Qual o maior deserto do mundo?,Saara,Gobi,Atacama,Antártico,4
Qual o metal mais abundante na crosta terrestre?,Ferro,Cobre,Alumínio,Prata,3
"Qual a cor primária que falta: Azul, Vermelho e...?",Verde,Amarelo,Roxo,Laranja,2
Quem foi o primeiro homem a pisar na lua?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,3
Qual o esporte mais popular do mundo?,Basquete,Tênis,Futebol,Natação,3
Qual o nome do processo pelo qual as plantas produzem seu próprio alimento?,Respiração,Fotossíntese,Transpiração,Fermentação,2
Qual o órgão responsável por bombear o sangue no corpo humano?,Pulmão,Cérebro,Estômago,Coração,4
Qual o nome do maior osso do corpo humano?,Fíbula,Tíbia,Fêmur,Rádio,3
Qual a montanha mais alta do mundo?,K2,Monte Everest,Aconcágua,Kilimanjaro,2
Qual a moeda oficial do Japão?,Euro,Dólar,Iene,Libra,3
"Qual o país conhecido como a ""Terra do Sol Nascente""?",China,Coreia do Sul,Japão,Vietnã,3
Qual o instrumento musical que tem teclas e cordas?,Flauta,Violão,Piano,Bateria,3
Qual o maior animal do mundo?,Elefante,Baleia Azul,Tubarão Branco,Girafa,2
Em que ano o Muro de Berlim caiu?,1985,1989,1991,1995,2
Qual o nome da galáxia em que vivemos?,Andrômeda,Via Láctea,Triângulo,Centaurus A,2
Qual o líquido mais consumido no mundo?,Leite,Café,Chá,Água,4
Qual o número de continentes na Terra?,Cinco,Seis,Sete,Oito,3
Qual o animal que é símbolo da paz?,Águia,Pomba,Leão,Tigre,2
Qual o gás que as plantas absorvem para fazer fotossíntese?,Oxigênio,Nitrogênio,Dióxido de Carbono,Hidrogênio,3
Quem foi o fundador da Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Elon Musk,2
